Question,Answer,Category
Is there any provision for grant of composite loans  by banks?,"A composite loan limit of, 1 crore can be sanctioned by  banks to enable the MSME entrepreneurs to avail of their working capital and  term loan requirement through Single Window in terms of our . All scheduled commercial banks were advised vide our  that the  banks which have sanctioned term loan singly or jointly must also sanction  working capital (WC) limit singly (or jointly, in the ratio of term loan) to  avoid delay in commencement of commercial production thereby ensuring that  there are no cases where term loan has been sanctioned and working capital  facilities are yet to be sanctioned.","Micro, Small and Medium Enterprises"
What is Cluster financing?,"Cluster based approach to lending is intended to provide  a full-service approach to cater to the diverse needs of the MSE sector which  may be achieved through extending banking services to recognized MSE clusters.  A cluster-based approach may be more beneficial (a) in dealing with  well-defined and recognized groups (b) availability of appropriate information  for risk assessment (c) monitoring by the lending institutions and (d)  reduction in costs.
The banks have, therefore, been advised to treat it as a  thrust area and increasingly adopt the same for SME financing. Banks have also  been advised that they should open more MSE focussed branch offices at  different MSE clusters which can also act as counselling centres for MSEs. Each  lead bank of the district may adopt at least one cluster (Refer ).","Micro, Small and Medium Enterprises"
What are the RBI guidelines on interest rates for loans disbursed by the  commercial banks?,"As part of the financial sector liberalisation, all credit related matters of banks including charging of interest have been deregulated by RBI and are governed by the banks' own lending policies. 
With a view to improve monetary policy transmission, banks have been advised to link loans to Micro and Small Enterprises to an external benchmark from October 01, 2019. (Refer circular DBR.DIR.BC.No.14/13.03.00/2019-20 dated September 04, 2019). To further improve the transmission of monetary policy rates, it has been decided that with effect from April 01, 2020, loans to Medium Enterprises shall be linked to external benchmark. (Refer circular DOR.DIR.BC.No.39/13.03.00/2019-20 dated February 26, 2020).","Micro, Small and Medium Enterprises"
Can the MSE borrowers get collateral free loans from banks?,"In terms of our circular RPCD.SME&NFS.BC.No.79/06.02.31/2009-10 dated May 6, 2010, banks are mandated not to accept collateral security in the case of loans upto ? 10 lakh extended to units in the MSE sector.","Micro, Small and Medium Enterprises"
What is the Credit Guarantee Fund Trust Scheme for MSEs?,"The Ministry of MSME, Government of India and SIDBI set up the Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE) with a view to facilitate flow of credit to the MSE sector without the need for collaterals / third party guarantees. The main objective of the scheme is that the lender should give importance to project viability and secure the credit facility purely on the primary security of the assets financed. The Credit Guarantee scheme (CGS) seeks to reassure the lender that, in the event of a MSE unit, which availed collateral - free credit facilities, failing to discharge its liabilities to the lender, the Guarantee Trust would make good the loss incurred by the lender, as per the scheme. 
The CGTMSE would provide cover for credit facility up to ?200 lakh which have been extended by lending institutions without any collateral security and /or third-party guarantees. A guarantee and annual service fee is charged by the CGTMSE to avail of the guarantee cover. For more details you may visit www.cgtmse.in.","Micro, Small and Medium Enterprises"
Is credit rating mandatory for the MSE borrowers?,"The credit rating by external rating agencies is not compulsory from regulatory capital perspective, if the maximum aggregate exposure to one counterparty does not exceed the threshold limit of ?7.5 crore, subject to meeting certain other conditions.","Micro, Small and Medium Enterprises"
What are the guidelines for delayed payment of dues to the MSE  borrowers?,"With the enactment of the Micro, Small and Medium Enterprises Development (MSMED), Act 2006, for the goods and services supplied by the MSME units, payments have to be made by the buyers as under: 
(i) The buyer is to make payment on or before the date agreed on between him and the supplier in writing or, in case of no agreement, before the appointed day. The agreement between seller and buyer shall not exceed more than 45 days. 
(ii) If the buyer fails to make payment of the amount to the supplier, he shall be liable to pay compound interest with monthly rests to the supplier on the amount from the appointed day or, on the date agreed on, at three times of the Bank Rate notified by Reserve Bank. 
(iii) For any goods supplied or services rendered by the supplier, the buyer shall be liable to pay the interest as advised at (ii) above. 
(iv) In case of dispute with regard to any amount due, a reference shall be made to the Micro and Small Enterprises Facilitation Council, constituted by the respective State Government. 
To take care of the payment obligations of large corporate borrowers to MSEs, banks have been advised that while sanctioning/renewing credit limits to their large corporate borrowers (i.e. borrowers enjoying working capital limits of ?10 crore and above from the banking system), to fix separate sub-limits, within the overall limits, specifically for meeting payment obligations in respect of purchases from MSEs either on cash basis or on bill basis.","Micro, Small and Medium Enterprises"
How can a bank or creditor identify incipient stress in MSME account?,"Before a loan account of a Micro, Small and Medium Enterprise turns into a Non-Performing Asset (NPA), banks or creditors should identify incipient stress in the account by creating three sub-categories under the Special Mention Account (SMA) category as given below: 
(i) SMA-0: Principal or interest payment not overdue for more than 30 days but account showing signs of incipient stress 
(ii) SMA-1: Principal or interest payment overdue between 31-60 days 
(iii) SMA-2: Principal or interest payment overdue between 61-90 days",Principal or interest payment overdue between 61-90 days
"What are the salient features of the  guidelines on Framework for Revival and Rehabilitation of Micro, Small and  Medium Enterprises (MSMEs)?","The salient features of the Framework are as under: (i) Before a loan account  of an MSME turns into a Non-Performing Asset (NPA), banks or creditors should identify incipient stress in the account by creating three sub-categories under the Special Mention Account (SMA) category as given in the Framework. (ii) Any MSME borrower may also voluntarily initiate proceedings under this Framework. (iii) Committee approach to be adopted for deciding corrective action plan. (iv) Time lines have been fixed for taking various decisions under the Framework.","Micro, Small and Medium Enterprises"
On which accounts are the provisions of the above Framework  applicable?,"The provisions made in this framework shall be applicable to MSMEs having loan limits up to ?25 crore, including accounts under consortium or multiple banking arrangement (MBA).","Micro, Small and Medium Enterprises"
How does the committee resolve the stress in the  accounts under the Framework?,"The Committee may explore various options to resolve the stress in the account. The Committee shall not endeavour to encourage a particular resolution option and may decide the CAP as per the specific requirements and position of each case. The options under CAP by the Committee may include: 
(i) Rectification; 
(ii) Restructuring; 
(iii) Recovery
For more details you may refer to circular no. FIDD.MSME & NFS.BC.No.21/06.02.31/2015-16 dated March 17, 2016.","Micro, Small and Medium Enterprises"
What are the salient features of Prudential framework for resolution  of stressed assets?,"MSME advances not covered under the Framework for Revival and Rehabilitation of Micro, Small and Medium Enterprises may be restructured by banks as per the instructions contained in the circular DBR.No.BP.BC.45/21.04.048/2018-19 dated June 7, 2019, on ëPrudential Framework for Resolution of Stressed Assetsí, as updated from time to time.","Micro, Small and Medium Enterprises"
What are the RBI guidelines on One Time Settlement Scheme  (OTS) for MSEs for settlement of their NPAs?,"Scheduled commercial banks have been advised in terms of our circular RPCD.SME&NFS. BC.No.102/06.04.01/2008-09 dated May 4, 2009 to put in place a non -discretionary One Time Settlement scheme duly approved by their Boards. The banks have also been advised to give adequate publicity to their OTS policies.","Micro, Small and Medium Enterprises"
"Apart from the loans and other banking facilities,  do the banks provide any guidance to MSE entrepreneurs?","Yes, banks provide following services to the MSE entrepreneurs: 
(i) Rural Self Employment Training Institutes (RSETIs): 
At the initiative of the Ministry of Rural Development (MoRD), Rural Self Employment Training Institutes (RSETIs) have been set up by various banks all over the country. These RSETIs are managed by banks with active co-operation from the Government of India and State Governments. RSETIs conduct various short duration (ranging preferably from 1 to 6 weeks) skill upgradation programmes to help the existing entrepreneurs compete in this ever-changing global market. RSETIs ensure that a list of candidates trained by them is sent to all bank branches of the area and co-ordinate with them for grant of financial assistance under any Govt. sponsored scheme or direct lending. 
(ii) Financial Literacy and consultancy support: 
Banks have been advised to either separately set up special cells at their branches, or vertically integrate this function in the Financial Literacy Centres (FLCs) set up by them, as per their comparative advantage. Through these FLCs, banks provide assistance to the MSE entrepreneurs in regard to financial literacy, operational skills, including accounting and finance, business planning etc. (Refer circular RPCD.MSME & NFS.BC.No.20/06.02.31/2012-13 dated August 1, 2012). 
Also, Financial Literacy Centres operated by Scheduled commercial Banks (including RRBs) have been advised vide our circular FIDD.FLC.BC.No.22/12.01.018/2016-17 dated March 02, 2017 to conduct target specific financial literacy camps wherein one of the target groups identified is MSEs.","Micro, Small and Medium Enterprises"
Is there a guideline for facilitating  timely and adequate credit flow during Life Cycle of MSEs?,"Yes, guidelines on ëStreamlining flow of credit to Micro and Small Enterprises (MSEs) for facilitating timely and adequate credit flow during their ëLife Cycleí were issued to Scheduled Commercial Banks (SCBs) vide our circular FIDD.MSME & NFS.BC.No.60/06.02.31/2015-16 dated August 27, 2015.","Micro, Small and Medium Enterprises"
What are the salient features of the  guidelines on Streamlining flow of credit to Micro and Small Enterprises  (MSEs) for facilitating timely and adequate credit flow during their Life  Cycle?,"In terms of the captioned guidelines, banks have been advised to review and tune their existing lending policies to the MSE sector by incorporating therein the following provisions so as to facilitate timely and adequate availability of credit to viable MSE borrowers especially during the need of funds in unforeseen circumstances: 
(i) To extend standby credit facility in case of term loans 
(ii) Additional working capital to meet with emergent needs of MSE units 
(iii) Mid-term review of the regular working capital limits, where banks are convinced that changes in the demand pattern of MSE borrowers require increasing the existing credit limits of the MSEs, every year based on the actual sales of the previous year. 
(iv) Timelines for Credit Decisions.","Micro, Small and Medium Enterprises"
What is Trade Receivables Discounting  System (TReDS)?,The objective of TReDS is to create Electronic Bill Factoring Exchanges which could electronically accept and settle bills so that MSMEs could encash their receivables without delay. This will not only give them greater access to finance but will also put greater discipline on corporates to pay their dues on time. For more details you may refer to RBI guidelines for setting up and operating TReDS on https://m.rbi.org.in/Scripts/bs_viewcontent.aspx?Id=3504.,"Micro, Small and Medium Enterprises"
What is the Certified Credit Counsellors  (CCC) Scheme?,"In terms of announcement in para 48 of First Bi-monthly Monetary Policy Statement, 2016-17, Reserve Bank laid down a framework for accreditation of credit counsellors which was shared with SIDBI for laying down operational guidelines. Accordingly, the scheme was launched by SIDBI in July 2017. As per the scheme, Certified Credit Counsellors are institutions or individuals registered with SIDBI who shall assist MSMEs in preparing project reports in a professional manner which would, in turn, help banks make more informed credit decisions.","Micro, Small and Medium Enterprises"
What is National Electronic Funds Transfer (NEFT) system?,"National Electronic Funds Transfer (NEFT) is a nation-wide centralised payment system owned and operated by the Reserve Bank of India (RBI). The set of procedures to be followed by various stakeholders participating in the system is available on the RBI website under the following link: 
https://rbidocs.rbi.org.in/rdocs/Content/PDFs/NEFPG300411.pdf",NEFT
What are the advantages of using NEFT system?,"NEFT offers the following advantages for funds transfer or receipt: 
(i) Round the clock availability on all days of the year. 
(ii) Near-real-time funds transfer to the beneficiary account and settlement in a secure manner. 
(iii) Pan-India coverage through large network of branches of all types of banks. 
(iv) Positive confirmation to the remitter by SMS / e-mail on credit to beneficiary account. 
(v) Penal interest provision for delay in credit or return of transactions. 
(vi) No levy of charges by RBI from banks. No charges to savings bank account customers for online NEFT transactions. 
(vii) Besides funds transfer, NEFT system can be used for a variety of transactions including payment of credit card dues to the card issuing banks, payment of loan EMI, inward foreign exchange remittances, etc. 
(viii) Available for one-way funds transfers from India to Nepal.",NEFT
How does the NEFT system operate?,"Following is the step-wise flow of NEFT transaction. 
1) Step-1: 
An individual / firm / corporate willing to transfer funds through NEFT can use the internet/mobile banking facility offered by his/her bank for initiating online funds transfer request. The remitter has to provide details of beneficiary such as, name of the beneficiary, name of the bank branch where the beneficiary has an account, IFSC of the beneficiary bank branch, account type and account number, etc. for addition of the beneficiary to his/her internet/mobile banking module. Upon successful beneficiary addition, the remitter can initiate online NEFT funds transfer by authorizing debit to his/her account. Alternatively, the remitter can also visit his/her bank branch for initiating NEFT funds transfer through branch/off-line mode. The customer has to fill-in the beneficiary details in NEFT application form available at the bank branch and authorize the branch to debit to his/her account to the extent of the amount requested in NEFT application form. 
2) Step-2: The originating bank prepares a message and sends the message to its pooling centre, also called the NEFT Service Centre. 
3) Step-3: The pooling centre forwards the message to the NEFT Clearing Centre, operated by the RBI, to be included for the next available batch. 
4) Step-4: The Clearing Centre sorts the funds transfer transactions beneficiary bank-wise and prepares accounting entries to receive funds from the originating banks (debit) and give the funds to the beneficiary banks (credit). Thereafter, bank-wise remittance messages are forwarded to the beneficiary banks through their pooling centre (NEFT Service Centre). 
5) Step-5: The beneficiary banks receive the inward remittance messages from the Clearing Centre and pass on the credit to the beneficiary customersí accounts.",NEFT
What is Indian Financial System Code (IFSC)?,"IFSC or Indian Financial System Code is an alpha-numeric code that uniquely identifies a bank-branch participating in the NEFT system. Itís a 11-digit code with the first 4 alpha characters representing the bank, and the last 6 characters representing the branch. The 5th character is 0 (zero). IFSC is used by the NEFT system to identify the originating / destination banks / branches and also to route the messages appropriately to the concerned banks / branches.",NEFT
How can I find the IFSC of a bank-branch?,Bank-wise list of IFSCs is available with all the bank-branches participating in NEFT scheme. List of bank-wise branches participating in NEFT and their IFSCs is also available on the website of RBI at https://www.rbi.org.in/Scripts/bs_viewcontent.aspx?Id=2009. All member banks have also been advised to print the IFSC of the branch on cheques issued to their customers.,NEFT
Who can avail NEFT system for fund transfer  / receipt?,"Individuals, firms and corporates maintaining accounts with any member bank, participating in the NEFT system, can electronically transfer funds to any individual, firm or corporate having an account with any other bank in the country participating in the NEFT system. 
The list of bank-wise branches participating in NEFT is available on the website of RBI at http://www.rbi.org.in/scripts/neft.aspx",NEFT
Is there any limit on funds / amount to  be remitted through NEFT system?,"No, there is no limit imposed by the RBI for funds transfer through NEFT system. However, banks may place amount limits based on their own risk perception with the approval of its Board.",NEFT
Can the NEFT system be used for remitting  funds even by those who do not have a bank account?,"Yes, the person having no bank account can remit funds through NEFT to a beneficiary having a bank account, with another NEFT member bank. It can be done by depositing cash at the nearest NEFT enabled branch of any bank, by furnishing additional details such as complete address, telephone number, etc. Such cash remittances will, however, be restricted to a maximum of ? 50,000/- per transaction.",NEFT
Can I send funds to my relative / friend  residing abroad through NEFT system?,"The outbound remittances through NEFT system are permitted only to Nepal under Indo-Nepal Remittance Scheme. Under this scheme, the remitter can transfer funds from any of the NEFT-enabled bank branches in India to Nepal, irrespective of whether the beneficiary in Nepal maintains an account with a bank branch in Nepal or not. The beneficiary would receive funds in Nepalese Rupees. The details of the Indo-Nepal Remittance Facility Scheme are available on the website of RBI at https://rbi.org.in/scripts/FAQView.aspx?Id=67",NEFT
What are the operating hours of NEFT?,"The NEFT system is available round the clock throughout the year on all days, i.e., on 24x7x365 basis. NEFT presently operates in batches on half-hourly intervals throughout the day. In case of non-availability of NEFT for any reason, appropriate message will be broadcasted by RBI to all system participants.",NEFT
What are the essential details required for remitting funds through NEFT system?,"The essential elements of beneficiary's identification are: 
(1) Beneficiary's Name 
(2) Beneficiary's Branch Name 
(3) Beneficiary's Bank Name 
(4) Beneficiary's Account Type 
(5) Beneficiary's Account No. 
(6) Beneficiary's Branch IFSC",NEFT
What are the customer charges levied by bank for NEFT transactions?,"The RBI does not levy any charges from member banks for NEFT transactions. Also, there are no charges to be levied for Inward transactions at destination bank branches for giving credit to beneficiary accounts. 
For outward transactions, the maximum charges that bank can levy from their customer for NEFT transaction are as follows: 
a) With effect from January 01, 2020, banks have been advised to not levy any charges from their savings bank account holders for NEFT funds transfers initiated online. 
b) Maximum charges which can be levied for outward transactions at originating bank for other transactions :
- For transactions up to ? 10,000 : not exceeding ? 2.50 (+ Applicable GST) 
- For transactions above ? 10,000 up to ? 1 lakh: not exceeding ? 5 (+ Applicable GST) 
- For transactions above ? 1 lakh and up to ? 2 lakhs: not exceeding ? 15 (+ Applicable GST) 
- For transactions above ? 2 lakhs: not exceeding ? 25 (+ Applicable GST) 
c) The details about Charges applicable for transferring funds from India to Nepal using the NEFT system under the Indo-Nepal Remittance Facility Scheme is available on the website of RBI at  https://rbi.org.in/scripts/FAQView.aspx?Id=67",NEFT
Can I use NEFT to transfer funds from /  to NRE and NRO accounts?,"Yes, NEFT can be used to transfer funds from / to NRE and NRO accounts in the country. This, however, is subject to the adherence of the provisions of the Foreign Exchange Management Act, 2000 (FEMA) and Wire Transfer Guidelines.",NEFT
Can I originate a NEFT transaction to  draw / receive funds from another account?,"No. NEFT is a credit-push system i.e., transactions can be originated by the payer / remitter / sender only to pay / transfer / remit funds to beneficiary.",NEFT
How can I track status of NEFT  transactions initiated? Who should be approached to know status of the NEFT  transaction?,"The remitter and the beneficiary can track status of NEFT transaction by contacting NEFT Customer Facilitation Centre (CFC) of their bank, respectively. Details of NEFT Customer Facilitation Centre of banks are available on the websites of the respective banks. The details of Customer Facilitation Centre of member banks are also available on the website of RBI at https://www.rbi.org.in/Scripts/bs_viewcontent.aspx?Id=2070. 
For the purpose of faster tracking of transaction, you need to provide few details related to transaction such as Unique Transaction Reference (UTR) number / transaction reference number, date of transaction, etc., to your bank.",NEFT
What  is the Help Desk / Contact point at the RBI?,"You may approach NEFT Help Desk / Contact point of the RBI at following address: The NEFT Help Desk (or Customer Facilitation Centre of RBI), Primary Data Centre (PDC), RBI, CBD Belapur, Navi Mumbai, Maharashtra- 410210.",NEFT
How much time should I expect for receipt  of funds by beneficiary?,You may expect timeline of two hours from the batch settlement within which beneficiaryís account should be credited.,NEFT
"What happens if funds are not credited to  the beneficiary? Or Do I get my money back, if funds are not credited to the  beneficiary due to various reasons?","If it is not possible to afford credit to the account of the beneficiary for any reason, destination banks are required to return the transaction (to the originating branch) within two hours of completion of the batch in which the transaction was processed.",NEFT
What are the penalties / compensation for  delayed credit or return of funds by beneficiary bank?,"If the NEFT transaction is not credited or returned within two hours after batch settlement, then the bank is liable to pay penal interest to the affected customer at the current RBI LAF Repo Rate plus two percent for the period of delay / till the date of credit or refund, as the case may be, is afforded to the customersí account without waiting for a specific claim to be lodged by the customer in this regard.",NEFT
What happens if I write wrong account number of  beneficiary?,"The credit is given to the account number written / given by remitter in his / her application / instruction. Credit to beneficiary account is released solely based on account number. It is the responsibility of remitting customer to write correct account number. The originator / sender should exercise due care in providing the correct account number of the beneficiary, in the NEFT remittance instruction / application.",NEFT
Whom should I approach for raising dispute/complaint  related to NEFT transaction?,"You may approach grievance redressal cell of your bank with details of the disputed transaction. In case your grievance is not resolved within 30 days, you may make a complaint under ìThe Reserve Bank-Integrated Ombudsman Scheme (RB-IOS, 2021)î. The RB-IOS, 2021 provides a single reference point for customers to file complaints against the RBI regulated entities specified therein. The RB-IOS, 2021 is available at the following path on the RBI website: https://rbidocs.rbi.org.in/rdocs/content/pdfs/RBIOS2021_121121.pdf.",NEFT
"How can I file complaint under the RB-IOS, 2021?","Complaints can be filed online on https://cms.rbi.org.in, or through the dedicated e-mail or sent in physical mode to the ëCentralised Receipt and Processing Centreí set up at Reserve Bank of India, 4th Floor, Sector 17, Chandigarh ñ 160 017 in the format given at the following path - https://rbidocs.rbi.org.in/rdocs/content/pdfs/RBIOS2021_121121_A.pdf. A toll-free number ñ 14448 (9:30 am to 5:15 pm) ñ is also available for customers to seek assistance in filing complaints and information on grievance redressal, with multi-lingual support.",NEFT
"When did Payment and Settlement Systems Act, 2007 (PSS Act, 2007) came into  effect?","The PSS Act, 2007 received the assent of the President on 20th December 2007 and it came into force with effect from 12th August 2008.",Payment and Settlement Systems Act
"What is the objective of the PSS Act, 2007?","The PSS Act, 2007 provides for the regulation and supervision of payment systems in India and designates the Reserve Bank of India (Reserve Bank) as the authority for that purpose and all related matters. The Reserve Bank is authorized under the Act to constitute a Committee of its Central Board known as the Board for Regulation and Supervision of Payment and Settlement Systems (BPSS), to exercise its powers and perform its functions and discharge its duties under this statute. The Act also provides the legal basis for ìnettingî and ìsettlement finalityî. This is of great importance, as in India, other than the Real Time Gross Settlement (RTGS) system all other payment systems function on a net settlement basis.",Payment and Settlement Systems Act
"What are the Regulations made under the PSS Act, 2007 and when did they come  into force?","Under the PSS Act, 2007, two Regulations have been made by the Reserve Bank of India, namely, the Board for Regulation and Supervision of Payment and Settlement Systems Regulations, 2008 and the Payment and Settlement Systems Regulations, 2008. Both these Regulations came into force along with the PSS Act, 2007 on 12th August 2008.",Payment and Settlement Systems Act
What are the objectives of these two Regulations?,"The Board for Regulation and Supervision of Payment and Settlement Systems Regulation, 2008 deals with the constitution of the Board for Regulation and Supervision of Payment and Settlement Systems (BPSS), a Committee of the Central Board of Directors of the Reserve Bank of India. It also deals with the composition of the BPSS, its powers and functions, exercising of powers on behalf of BPSS, meetings of the BPSS and quorum, the constitution of Sub-Committees/Advisory Committees by BPSS, etc. The BPSS exercises the powers on behalf of the Reserve Bank, for regulation and supervision of the payment and settlement systems under the PSS Act, 2007. 
The Payment and Settlement Systems Regulations, 2008 covers matters like form of application for authorization for commencing/ carrying on a payment system and grant of authorization, payment instructions and determination of standards of payment systems, furnishing of returns/documents/other information, furnishing of accounts and balance sheets by system provider etc.",Payment and Settlement Systems Act
"Does the PSS Act, 2007 define what is a payment obligation, payment  instruction, payment system and other commonly used terms like electronic  fund transfer, gross settlement system, netting, settlement, systemic  risk, system participant and system provider?","Yes, these terms are defined in Section 2 (1) of the PSS Act, 2007.",Payment and Settlement Systems Act
What is a Payment Obligation?,"ìPayment obligationî is defined as what is owed by one participant in a payment system to another such participant which results from clearing or settlement or payment instructions relating to funds, securities or foreign exchange or derivatives or other transactions.",Payment and Settlement Systems Act
What is a Payment Instruction?,"ìPayment Instructionî is defined as any instrument, authorization or order in any form, including by electronic means, to effect a payment by a person to a participant in a payment system or from one participant in such a system to another participant in that system. 
The payment instruction can be communicated either manually i.e. through an instrument like a cheque draft, payment order etc. or through electronic means, so that a payment can be made by either a person to the participant in such a system or between two participants.",Payment and Settlement Systems Act
What is a Settlement?," ìSettlementî means the settlement of payment instructions received and these include settlement of securities, foreign exchange or derivatives or other transactions. Settlement can take place either on a net basis or on a gross basis. Both netting and gross settlement system are defined under the Act.",Payment and Settlement Systems Act
"What is a Payment System under the PSS Act, 2007?","Section 2(1) (i) of the PSS Act 2007 defines a payment system to mean a system that enables payment to be effected between a payer and a beneficiary, involving clearing, payment or settlement service or all of them, but does not include a stock exchange (Section 34 of the PSS Act 2007 states that its provisions will not apply to stock exchanges or clearing corporations set up under stock exchanges). It is further stated by way of an explanation that a ìpayment systemî includes the systems enabling credit card operations, debit card operations, smart card operations, money transfer operations or similar operations. 
All systems (except stock exchanges and clearing corporations set up under stock exchanges) carrying out either clearing or settlement or payment operations or all of them are regarded as payment systems. All entities operating such systems will be known as system providers. Also all entities operating money transfer systems or card payment systems or similar systems fall within the definition of a system provider. To decide whether a particular entity operates the payment system, it must perform either the clearing or settlement or payment function or all of them.",Payment and Settlement Systems Act
"Are entities operating a payment system or intending to operate a payment  system required to get a license, approval or authorization for the purpose?","In terms of Section 4 of the PSS Act, 2007 no person other than the Reserve Bank can operate or commence a payment system unless authorized by the Reserve Bank. Any person desirous of commencing or operating a payment system needs to apply for authorization under the PSS Act, 2007(Section 5). 
The application for authorization has to be made as per Form A under Regulation 3(2) of the Payment and Settlement Systems Regulations, 2008. The application is required to be duly filled up and submitted with the stipulated documents to the Reserve Bank. 
All entities operating payment systems or desirous of setting up such systems are required to apply for authorization under the Act. The application for authorisation can be downloaded from the following link. Any unauthorized operation of a payment system would be an offence under the PSS Act, 2007 and accordingly liable for penal action under that Act.",Payment and Settlement Systems Act
Is there any application fee to be submitted along with the application for  authorization?,"A sum of Rs 10,000/- is required to be submitted as application fee, which can be submitted by cash or cheque or payment order or demand draft or electronic fund transfer in favour of the Reserve Bank along with the application for authorisation. The fees can also be submitted in electronic mode. 
For further details you may send an email to cgmdpssco@rbi.org.in. The form and manner of application for authorisation is available at  https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/REGULATI050115.pdf",Payment and Settlement Systems Act
Are foreign entities allowed to operate a payment system in India?,"Yes. The PSS Act 2007 does not prohibit foreign entities from operating a payment system in India and the Act does not discriminate/differentiate between foreign entities and domestic entities. (Pl see Sections 4 and 18 of the PSS Act, 2007)",Payment and Settlement Systems Act
Are foreign entities required to get a license or approval or authorization  from Reserve Bank before commencing operations?,"Yes. All entities, irrespective of domestic or foreign, need to obtain license/ approval / authorization from Reserve Bank before commencing payment system operations in the country. The PSS Act indicates that ìNo person can operate a payment system except under and in accordance with an authorisation issued by the Reserve Bankî. Criteria are also specified for particular payment systems which form part of the respective payment system guidelines / instructions. 
The form and manner of application for authorisation is available at https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/REGULATI050115.pdf",Payment and Settlement Systems Act
What are Financial Market Infrastructures?,"Financial Market Infrastructure (FMI) is defined as a multilateral system among participating institutions, including the operator of the system, used for the purposes of clearing, settling, or recording payments, securities, derivatives, or other financial transactions. (Please see Regulation and Supervision of Financial Market Infrastructures regulated by Reserve Bank https://www.rbi.org.in/scripts/bs_viewcontent.aspx?Id=2705#F1). 
The term FMI generally refers to systemically important payment systems, Central Securities Depositories (CSDs), Securities Settlement Systems (SSSs), Central Counter Parties (CCPs), and Trade Repositories (TRs) that facilitate the clearing, settlement, and recording of financial transactions. CSDs, SSSs, CCPs are designated as ìpayment systemsî under the PSS Act. TR has been defined and covered under the PSS Act. The FMIs are subjected, on an on-going basis, to the rules and regulations that are consistent with the Principles for Financial Market Infrastructures (PFMIs) issued by the Committee on Payment and Settlement Systems (CPSS is rechristened as Committee on Payment and Market Infrastructures- CPMI) and International Organisation of Securities Commissions (IOSCO). The Reserve Bank has on 26 July 2013 issued a press release on ìRBI issues Policy Document for Regulation and Supervision of Financial Market Infrastructuresî https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=29170",Payment and Settlement Systems Act
Can a foreign Financial Market Infrastructure(FMI) start operations in India?,"Yes. The PSS Act 2007 does not prohibit foreign entities from operating a payment system in India. The Act does not discriminate/differentiate between foreign entities and domestic entities. (Pl see Sections 4 and 18 of the PSS Act, 2007).",Payment and Settlement Systems Act
What are the services which a foreign entity can provide?,"The PSS Act does not place any restriction on the types of payment systems / services a foreign entity can provide. However, any service provided by a domestic or foreign entity must be in accordance with the overall legal framework of the country. 
Foreign entities viz., card networks like MasterCard (Singapore), Visa Worldwide Pte. Limited (Singapore), etc. are authorised under the PSS Act and operating card schemes in India. Also, cross-border remittance service providers viz., Western Union Financial Services Incorporated, USA, MoneyGram Payment Systems Inc, USA., etc. have also been authorised and are providing remittance services. The list of entities authorised under the PSS Act is available at https://rbi.org.in/Scripts/PublicationsView.aspx?id=12043",Payment and Settlement Systems Act
What are the factors which the Reserve Bank will consider while deciding on an  application submitted for authorization?,"The Reserve Bank will consider factors like the need for the proposed payment system, the technical standards and design of proposed system, the security procedures and terms and conditions of operation of the proposed system, the procedure for netting of payment instructions, risk management processes, financial status of the applicant, experience of management and integrity of applicant, consumer interests, monetary and credit policies and other relevant factors while deciding on an application for authorization for commencing or operating a payment system (Section 7 of PSS Act, 2007). 
The Reserve Bank will endeavour to dispose of all applications received for authorization within six months from the date of their receipt.",Payment and Settlement Systems Act
What are the parameters taken into consideration for giving authorisation to  the applicants?,"Application for authorisation of a payment system operator is assessed against the criteria specified for a particular payment system. For example, the application for issuance and operation of PPI is assessed against the Policy Guidelines on Issuance and Operation of Pre-paid Payment Instruments in India. Similarly, in case of CCP, the application would be assessed against the backdrop of PFMI policy document issued by RBI. 
As per section 6 of the PSS Act, the Reserve Bank may make such inquiries as it may consider necessary for the purpose of satisfying itself the capacity, credentials of the participants or for any other valid reason. 
In case, the entity is already regulated by any other authority, information from such authorities may be called for making the assessment. It may be mentioned that for licensing Indian entities as banks in the recent past, the process entailed calling for due diligence reports from foreign regulators wherever the applicant entity had group entities operating in foreign jurisdictions.",Payment and Settlement Systems Act
Can the Reserve Bank refuse to grant authorization to commence or operate a  payment system?,"Yes, the Reserve Bank can refuse to grant authorization under the PSS Act, 2007. However, the Reserve Bank has to give a written notice to such an applicant giving the reasons for refusal and also a reasonable opportunity of being heard {Section 7 (3) of the PSS Act 2007}.",Payment and Settlement Systems Act
Can the Reserve Bank revoke authorization granted under the PSS Act 2007?,"Yes, the Reserve Bank is empowered to revoke the authorization granted by it, if the system provider contravenes any provisions of the Act or Regulations, fails to comply with its orders/ directions or violates the terms and conditions under which the authorization was granted to it (Section 8 of PSS Act 2007).",Payment and Settlement Systems Act
"Is there any appellate authority to whom an aggrieved applicant whose  application for authorization is refused or a system provider whose  authorization is revoked, can appeal?","The aggrieved applicant or aggrieved system provider can appeal to the Central Government within 30 days from the date on which the order of refusal or revocation is conveyed to him (Section 9 of PSS Act, 2007).",Payment and Settlement Systems Act
